Texto,Texto,Texto,,,,,
,,"Shares of PulteGroup Inc. PHM +7.28% surged 6.7% in midday trade to bounce off the previous session's 21-month low after the home builder reported third-quarter earnings that beat expectations although sales came up a bit shy. In the post-earnings conference call Chief Executive Ryan Marshall said that while increasing volume of consumer traffic suggest home buying interest remains high the company-wide absorption pace was down suggesting affordability resulting from higher interest rates and home prices is becoming a bigger hurdle for buyers to overcome according to a transcript provided by FactSet. Adjustments the company said it can make within its communities to increase affordability include incentives related to home option packages and financing incentives. ""And then of course the easiest thing potentially to do and sometimes the most painful from a profitability standpoint is just absolute base price adjustments"" Marshall said. ""And we tend to go there last is the kind of the order of magnitude of change that we would typically make.""",,,,,
,1. Early retirees are not withdrawing from life. They’re embracing a purposeful life MORE fully than ever.,,,,,,
,,As background I grew up with the same trust amounts and when I reached about 24 was finally given control of my money and I only had $20000. I am sure that my dad spent my money on my upkeep possibly even made me pay for my own boarding school. We really cannot afford for to pay for “culturally” enriching stuff.,,,,,
Read more: Here’s how much Tesla lost in market cap now that Musk’s SEC settlement is approved,,,,,,,
,Musk has vowed to show profits in the third and fourth quarters.,,,,,,
,,"And then take tweets about the stock market — from the president from Elon Musk (the former chief executive officer of auto maker Tesla TSLA +12.72%

     who tweeted about taking the company private and caused chaos) or from anyone else — with skepticism. “Reach out to someone who you can figure out your personal situation with but don’t make rash or emotional decisions based on what you read on social media” Geifer said.",,,,,
,,The words we choose when describing someone’s performance in the workplace matter — they can have a profound impact on their career.,,,,,
,,But the evidence left the decider cold.,,,,,
,The broad sector selloff comes despite early indications of strong demand since full-legalization.,,,,,,
,,At present the EU imposes a 10% tariff on imported U.S. cars while the U.S. tacks on a 2.5% tariff on passenger cars made in Europe and a 25% tariff on imported pickup trucks.,,,,,
,,Puzzles. Defying gravity. Unexplained phenomenon. Halloween.,,,,,
,,Lund predicts a “single-digit percentage of consumers” will flock to the graduated-services model of companies like ShowPal and REX “but the majority are going to continue to do it the way they do it because it works. There’s a lot that local real estate agents do that don’t show up in economic calculations.”,,,,,
,,Americans with 401(k) plans should not run to their plan administrator to change their contribution rates or asset allocations advisers said. “If you’re someone working and saving in a 401(k) plan your long-term savings strategies won’t be materially impacted by who won the midterm elections in 2018” Geifer said. “Focus your energy elsewhere on things you can control.”,,,,,
,,Read:  Your financial adviser’s ‘sleep easy’ portfolio may be riskier than you think,,,,,
,,The couple spent several weeks trying to get their home listed on Zillow a process Fischer called “a bit of a mess.” ShowPal saw the Zillow ad and reached out to Fischer.,,,,,
,Last week a federal judge approved Musk’s settlement with the SEC reached last month to end charges that Musk misled investors and violated securities laws by tweeting he had “funding secured” to take Tesla private. Musk and Tesla agreed to the settlement without admitting or denying the allegations.,,,,,,
,,“It seems as though there is an interest in finding a way to deny these petitions” she added. “In my practice this has regrettable become more and more common under the Trump administration.”,,,,,
,,As more advisers charge based on the time they spend serving clients (such as an hourly rate or a monthly or quarterly retainer) the assets-under-management fee structure will fade Veres predicts. He favors this shift arguing that charging a percentage of assets is “not a sustainable business model.”,,,,,
,,Read:  Here are the early signs China’s stock-market woes are starting to infect the rest of the world,,,,,
,Citron’s note comes after the Silicon Valley car maker announced late Monday that it will report third-quarter results on Wednesday much sooner than anticipated.,,,,,,
,,Another newish player REX offers what it calls a “full service low fee” approach. The amount any seller pays is always 2% and if a buyer wants to work with his or her own agent that professional must accept those terms. As an alternative to that uncomfortable conversation the Los Angeles-based REX will provide one of its own on-staff salaried brokers to any buyer. “We never ask anyone to go without representation” REX spokesman Eric Rothman said. REX has been around since 2015 and is currently raising a Series C round of funding.,,,,,
,Also read: All the potential red flags for investors in IGC the pot stock that jumped 1000% in three months.,,,,,,
,"Tesla shares have lost 11% this year and 18% in the last 12 months. That compares with gains of 1.4% and 0.9% for the S&P 500 index SPX -0.55%

     and the Dow Jones Industrial Average DJIA -0.50%

     in the same period.",,,,,,
,,The president’s previous tweets on 401(k) plans have taken credit for how well the stock market is doing since he was elected which translates to greater returns in retirement accounts. His recent tweet on 401(k) plans suggests something along the lines of: “if you elect someone else who is not embracing my philosophies and programs it will hurt your pocket book’” said Dennis Nolte vice president of Seacoast Investment Services in Winter Park Fla.,,,,,
,—Chris Matthews and Barbara Kollmeyer contributed to this article,,,,,,
,,You could also refinance the property and take that money and invest it elsewhere. Bottom line: These are all good questions. My gut tells me you that you’re absolutely right to question what you should do with this rental and as you turn 60 there’s no better time to shake up your financial situation and ask tough questions. But maybe 2018 isn’t the year to do it.,,,,,
,"Despite the long losing streak the Horizons ETF was still up 19% over the past three months and the ETFMG ETF was up 22% while the S&P 500 indexSPX -0.55%

    has lost 2.5%.",,,,,,
,,Chinese e-commerce giant Alibaba Group Holding Limited has won a preliminary injunction against cryptocurrency firm Alibabacoin Foundation.,,,,,
,,One of my close friends is working with an executive coach who is helping her get to the next level. Her performance reviews generally indicate that she is on track for a promotion. But when one of the male execs on her panel gave her the feedback that she is “aggressive” and recommended that she be “less aggressive” her morale was shaken.,,,,,
,Now read: The real reason marijuana stocks are falling off a cliff — and what to do now,,,,,,
,,“The bigger question longer term will be whether the UK really needs so many more hotels” analysts at AJ Bell said. “The industry continues to build and build plus there is the additional factor of Airbnb offering plentiful supply of accommodation” they added.,,,,,
,,“Present-day socialists do not want the dictatorship or state brutality that often coincided with the most extreme cases of socialism” the report said. “However peaceful democratic implementation of socialist policies does not eliminate the fundamental incentive and information problems created by high tax rates large state organizations and the centralized control of resources.”,,,,,
,• Smart money flows are neutral in Green Organic Dutchman Holdings TGODF -1.90%,,,,,,
,,This article is reprinted by permission from NextAvenue.org. It is adapted from the book “Nevertheless She Persisted: True Stories of Women Leaders in Tech” by Pratima Rao Gluckman. Reprinted with permission of the author.,,,,,
,,“As the company bolsters its self-serve offering continues to innovate on the Snapchat pixel and adds more dynamic advertising use-cases and ad formats we believe pricing will begin to stabilize on a year-over-year basis in 2019” he wrote.,,,,,
Citron acknowledged its long-held bearish view on Tesla and its surprising turn: “As much as you can’t believe you are reading this we can’t believe we are writing this!”,,,,,,,
,,“Collaborative planning means that you start with a thorough multiple-meeting conversation about your clients’ goals what money means to them what they are saving for and then helping them refine those goals” said Veres author of “The New Profession.”,,,,,
,,The president took to Twitter to defend tariffs as being “great...for negotiations” and as leverage for what he called fair trade deals.,,,,,
,,Naturally the past is not a guarantee of the future.,,,,,
Last week a federal judge approved Musk’s settlement with the SEC reached last month to end charges that Musk misled investors and violated securities laws by tweeting he had “funding secured” to take Tesla private. Musk and Tesla agreed to the settlement without admitting or denying the allegations.,,,,,,,
,,The cryptocurrency AlibabaCoin or ABBC has a market value of $1.9 million and is trading at 71 cents according to data from CoinMarketCap. The coin had reached an all-time high of $1.63 on Oct. 18 2018. Meanwhile Alibaba boasts a market value of more than $330 billion.,,,,,
Tesla scheduled a post-results call with analysts at 3:30 p.m. Pacific about one hour later than usual. Ford Motor Co. is also scheduled to report after the bell on Wednesday.,,,,,,,
,,If you are self-certifying that you are eligible for a waiver because of illness you should be able to demonstrate two things: first you need to show that the medical issue impaired your ability to complete a timely rollover and next you need to show the funds were not used for personal reasons in the intervening time.,,,,,
,,The company noted in its report that its own spending on Facebook ads topped $12 million in May through October as it pushed a message about how it’s “strengthening security during elections.”,,,,,
,,That $8000 per year seems like an endless well of ballet or gymnastic classes or summer camps with other young girls born of wealthy parents with double-barreled names. Who knows, She could be the next Misty Copeland or Simone Biles. You can pay for these things and hope that all of these extra-curricular activities instill in her the expectation and confidence that perhaps you didn’t have at that age. It’s a luxury to take things for granted especially when you are young.,,,,
,,Wedbush analyst Michael Pachter thinks that a more self-aware company can emerge at Snap.,,,,,
,,Get a daily roundup of the top reads in personal finance delivered to your inbox. Subscribe to MarketWatch's free Personal Finance Daily newsletter. Sign up here.,,,,,
,,“Combined these two would add 142 [basis points] to the average global import tariff essentially reversing about 15 years of progress in global tariff reduction” said UBS chief economist Arend Kapteyn and his colleagues in a recent note.,,,,,
,,Christina Carreira is one half of a team that’s lit the ice on fire. She and her partner Anthony Ponomarenko are the world’s top junior ice dance team and have racked up 10 medals — including four gold medals — in international competition since 2016. She’s currently in the country legally on a visa that allows her to train here temporarily.,,,,,
,,Opinion: Why Ted Cruz will defeat Beto O’Rourke in their Texas Senate,,,,,
,"Meanwhile the Horizons marijuana ETF was still up 21% over the past three months and the ETFMG ETF was up 23% while the S&P 500 indexSPX -0.55%

    has slipped 1.8%.",,,,,,
,,Indeed high-grade copper HGZ8 +0.25% widely used as an industrial metal in manufacturing buildings and electronics at $2.758 a pound on Tuesday is down 16.5% on the year and about 1.7% so far in October. The metal is on track to register losses in five of the past six months and seven of the past nine.,,,,,
,,Tension has been escalating between the Republican and Democratic parties in light of Supreme Court Justice Brett Kavanaugh’s confirmation to the court as well as immigration health care and other social issues.,,,,,
,,The working paper “Computer Vision and Real Estate: Do Looks Matter and Do Incentives Determine Looks” was based on research by noted housing scholar and urbanist Ed Glaeser of Harvard University and two associates.,,,,,
,,Capitol Report: New White House report echoes Trump’s campaign rallies in attacking socialism,,,,,
,,“Crude oil has been declining on concerns over excessive supply in the months ahead with the risk-off tone stemming from the equity markets also not helping the cause” said Fawad Razaqzada technical analyst at Forex.com.,,,,,
,Tesla shares TSLA +12.72% traded as high as $288.80 their highest since Oct. 4 and were the second best performer on the Nasdaq-100.,,,,,,
,,If you have a question for Dan please email him with “MarketWatch Q&A” on the subject line.,,,,,
,I think there is retiring forward and retiring backward. Suze did what many early retirees do. She left her day job. She got rid of excess not needed in a post-job life. For most it’s getting rid of the car to impress clients or five suits for a weekly rotation at the office. For Suze it was five cars and five homes.,,,,,,
,,Now read: The real reason marijuana stocks are falling off a cliff — and what to do now,,,,,
There isn’t a readily available breakdown of the CBO’s forecast by income bracket — the CBO said it doesn’t have that information — so for argument’s sake a Joint Committee on Taxation breakdown on the distribution effects of the Tax Cuts and Jobs Act will be used. (That’s not a perfect solution since the JCT breakdown includes more than just income taxes.),,,,,,,
,“The issue lately is that while there have been pockets of positive action around each day has had its culprits. On Monday the financials’ big drop diluted the market’s attempt to bounce. On Tuesday the S&P 500 was able to mount a substantial turn around but this time energy was the obvious laggard” he said. “So today’s breach of the lows could end up marking a key trading low but I think the price action shows that the trading environment remains fragile and stocks [are] easily pushed around.”,,,,,,
,,Meanwhile Warren Buffett once said that Wall Street analysts “make fortune-tellers look good.” So while in Salem I stopped by one of the town’s psychics to see if he could tell me where the stock market was headed. I’ve been following people on Wall Street for twenty years and none of them has a clue.,,,,,
,He pointed to several divergences that should make clear to investors just how precarious the market situation is at these current levels. The first one is what we’re seeing in this chart of the S&P vs. the rest of the world.,,,,,,
,But “plain and simple -- Tesla is destroying the competition” it said. “It looks like it is the competition that is taking the Ambien” referring to Musk’s admission that he sometimes uses the sleeping pill.,,,,,,
,Read more: Here’s how much Tesla lost in market cap now that Musk’s SEC settlement is approved,,,,,,
,,There is a broader implication to this discussion. Because the “aggressive” label doesn’t just come up in informal discussions but also appears in performance reviews it can have a major impact on careers.,,,,,
,,This is not the first doctor to effectively recommend walking your way to a longer life. Walking at an average pace was linked to a 20% reduction in the risk of mortality compared with walking at a slow pace according to a study published earlier this year in the British Journal of Sports Medicine. A similar result was found for risk of dying from cardiovascular disease.,,,,,
,,Fears that a slowdown by China’s economy will eventually ripple through the rest of the world were playing out on Tuesday reflected in a sweeping global equity-market downturn.,,,,,
,,Those efforts come as the Beijing and the U.S. remain locked in a trade dispute that many analysts feel is reverberating through China and U.S. markets. Underperformance of cyclical sectors relative to their defensive peers around the world since global equities started to fall back last month likely reflects investor worries about the growth outlook for both China and the U.S. wrote economists at Capital Economics.,,,,,
When it comes to raking in “mailbox money” residents of some cities are doing better than others. In some cases much much better.,,,,,,,
,Pot stocks fall again as Aurora Cannabis sinks on NYSE debut,,,,,,
,,The Puritans tried to burn the witches out of Salem but their stunt had the opposite effect. Thanks to the publicity the place is now Witch Central. Occult stores and magic shops crowd the Victorian town’s narrow side streets selling artifacts crystals mysterious powders and books on tarot cards.,,,,,
,"Among the more-active stocks Aurora Cannabis Inc.ACB -11.39%

    
ACB -11.73%

    made its debut on the New York Stock Exchange moving over from the OTC Markets. The reception wasn’t too festive however as the stock dropped 7.9%. Trading volume was heavy at 30.4 million shares enough to make it the seventh-most active stock on the NYSE.",,,,,,
,,"I can’t tell you to sell or not. You have no doubt seen the wild ride the Dow Jones Industrial DJIA -0.50%

     and S&P 500 SPX -0.55%

      has had over the last few weeks.",,,,,
,,• You have some evidence (e.g. documents or behavior) that backs up your story,,,,,
,,Providing critical information for the U.S. trading day. Subscribe to MarketWatch's free Need to Know newsletter. Sign up here.,,,,,
,,My sister is on disability so eventually we will need to sell my mother’s assets to give her money to live on. Once my mom’s dementia got worse I did become a co-trustee with financial power of attorney.,,,,,
,,Perhaps predictably one key Trump ally was said to be delighted with the president’s word choice:,,,,,
,“I’m telling you I just did it for three years on my private island. I retired at 65. I shut down the Suze Orman show. I sold five homes. I got rid of five cars. I stopped going on QVC. I stopped writing for Oprah’s magazine. I stopped giving talks. I stopped doing everything and I had a great time for three years. I learned how to fish. I learned how to win tournaments. I learned how to be the captain on my boat. and all of a sudden it was like “Oh there’s still stuff for me to do.” Now. I was in a field that everybody welcomed me back when I came back. They were excited to see me in the halls of NBC and MSNBC and everywhere that I went this past week.”,,,,,,
,,If someone misses the deadline for a legitimate reason however there is wiggle room available because the IRS allows them to self-certify their eligibility for an extension. Let’s take a closer look at the options available to complete a valid rollover after the 60-day period has expired.,,,,,
,,"Social-media peer Twitter Inc. TWTR -1.41%

     struggled for years but it began to earn Wall Street’s respect when it posted its first profitable quarter in February. The company still has user-growth issues but it’s doing a better job of monetizing the existing user base and selling higher-quality ads.",,,,,
,,And sooner or later that sort of double-dealing tends to catch up.,,,,,
,,"In May Nestle NESN +5.00% the world’s largest food and drinks group paid Starbucks CorpSBUX -0.15%

      $7.1 billion to sell its coffee products such as Nespresso after activist investor Dan Loeb pressured the company to boost its margins.",,,,,
,,Heart patients spend most of their waking hours sitting lying down but remaining sedentary for long periods could shorten their life research suggests. Taking breaks and burning more than 770 calories per day should help prolong their life said Ailar Ramadi postdoctoral fellow in the Faculty of Rehabilitation Medicine at University of Alberta Edmonton and author of the latest paper.,,,,,
Compare that kind of price tag with the estimated $25 billion cost of a Trump border wall that has gotten nowhere in Congress. Legislation proposed by House Majority Leader Kevin McCarthy would provide a slightly slimmer $23.4 billion.,,,,,,,
,,He may be right. He may not. But he raised some sound questions. Are you prepared in your life to take on more risk, Do you have the information you need, Do you understand what you control and what you don’t, These reasonable thoughts cost me $10. I thought that was pretty good. But then I’ve been hanging around Wall Street witch-doctors for too long.,,
,Tesla surprised markets on Monday by setting the date for its third-quarter results about two weeks earlier than its usual date. Tesla did not return a request for comment from MarketWatch late Monday about the decision to fast-forward earnings with little notice.,,,,,,
,See also: Marijuana stocks to watch: Aurora Cannabis investments may be more valuable than its pot.,,,,,,
,,The links are part of a plan to create an integrated region that officials have dubbed the “Greater Bay Area.” The bridge will put Hong Kong Macau and the Chinese city of Zhuhai within an hour of each other. Emphasizing the importance of the project President Xi Jinping was the guest of honor at the official opening Tuesday declaring the bridge open after speeches from senior officials from the cities heralding a new milestone in their partnership.,,,,,
,,"With 4000 stores in 32 countries Costa is the second-largest coffee shop in the world after Starbucks.The deal allows Coca-Cola Inc. KO +0.85%

     to diversify away from fizzy and sugary drinks and expand into healthier offerings. Costa is aiming to triple its store presence in China.",,,,,
,,The Trump Make America Great Again Committee a group backing President Donald Trump comes in second behind O’Rourke having spent $3.1 million on Facebook ads from May through October.,,,,,
,"Shares of Canopy Growth Corp.CGC -1.42%

    
WEED -1.52%

    slumped 11% Cronos Group Inc.CRON -2.11%

    dropped 12% New Age Beverages Corp.NBEV +5.52%

    plunged 16% and Tilray Inc.TLRY -1.48%

    lost 16%.",,,,,,
,,Trending at WSJ.com:,,,,,
,• Smart money flows are negative in Aphria APHQF +0.95% Cronos CRON -2.11% Neptune NEPT +5.41% and New Age Beverages NBEV +5.52%,,,,,,
,,Dear Moneyist,,,,,
,Corona beer maker Constellation Brands Inc.STZ -1.95% which made a splash when it boosted its stake in Canopy Growth by $4 billion in August saw its shares lose 1.7%.,,,,,,
,And then a couple of years in more or less the identity confrontation lands with a thud. Who am I now that I am not my job, How do I explain myself to others, How can I gain the respect and voice I had with my old job, I was somebody. Now I’m nobody.,,,
,,The best way for me to get insight into his thinking is to ask another adviser. “It seems out of line — or maybe not the most prudent thing to do — to invest in 20-year bonds for a woman in her 90s” says Joe McLean managing partner of Intersect Capital in San Ramon Calif. “One possible answer is that the adviser thought the investments would roll to the beneficiaries and the bonds would not have to be sold. I would think this would involve a discussion with the beneficiaries.”,,,,,
,,“Coincident with the 200th anniversary of Karl Marx’s birth socialism is making a comeback in American political discourse” the report from the White House Council of Economic Advisers said. “Detailed policy proposals from self-declared socialists are gaining support in Congress and among much of the electorate” said the report. It’s titled “The Opportunity Costs of Socialism.”,,,,,
,,"The researchers analyzed several thousand homes sold in Boston between 2006 and 2015 using assessor data and images from Google Street View as well as some interior photography from ZillowZG +1.91%

     . To that data the researchers applied “standard computer vision techniques” using machine learning to assess images.",,,,,
,,Opinion: Snap and Tesla are for sale and here’s who will buy them,,,,,
,,"The Dow Jones Industrial Average DJIA -0.50%

     fell 125.98 or 0.5% to 25191.43 after being down more than 500 points earlier. The S&P 500 SPX -0.55%

     shed 15.19 points or 0.6% to 2740.69 while the Nasdaq Composite Index COMP -0.42% slid 31.09 points or 0.4% to 7437.54.",,,,,
,,Second we keep talking about a waiver. It is technically not a waiver of the 60 day rule but the rollover will be valid anyway (“tomayto/tomahto”).,,,,,
,,Unlike most people who buy or sell a home feel bruised by the steep transaction costs and then walk away vowing never to move again Torstenson decided to do something about it. Torstenson is an emergency room doctor – a profession where it’s fair to say inefficiencies and participants who don’t pull their weight aren’t tolerated.,,,,,
,,Alas he’s not allowed to answer financial questions. “That’s an illegal question” he said when I asked him where the stock market was heading. “No one around here will answer a money question. It’s against the city ordinances.”,,,,,
,,The equity research team found that for every percentage point change in real new auto consumer-price index (CPI) and in the rate of unemployment U.S. light vehicle demand varied on average by around 116000 and 928000 annual units respectively since 1980.,,,,,
,,A.: Phil To avoid taxation the money needs to stay in a 401(k) or an IRA and any rollover needs to be done properly. So I would say “No” to any nonretirement accounts.,,,,,
,,The publication of the White House report drew sharp criticism:,,,,,
,“When you consider everything that is happening right now—Italy Brexit Saudi Arabia a Chinese growth slowdown trade wars the pending U.S. midterm elections and I could go on—almost all the news we see every day is bad. The surprise is not that markets are reacting, it is that markets did not react sooner and that they have not reacted harder” wrote Brad McMillan chief investment officer at Commonwealth Financial Network in a note. “We can expect more volatility. But with strong economic fundamentals in place it is reasonable to conclude that this turbulence is probably just another 2016 or 2018—i.e. a sharp pullback that will be reversed in the next couple of months.”,,,,,
,,Last week the Treasury Department reported a $779 billion deficit for the fiscal year ending Sept. 30 up $113 billion.,,,,,
,,"The Walt Disney Co.'s DIS -0.36% top animation executive Pixar co-founder Ed Catmull will retire from the company at the end of the year Disney announced Tuesday afternoon. Catmull will remain as an advisor through July which will mark 40 years in the industry after he started out at Lucasfilm before cofounding Pixar with help from Apple Inc. AAPL +0.94% co-founder Steve Jobs. ""I have the mixed emotions that come with stepping away from a group of people I love but also with the utmost pride and pleasure that we now have at both Pixar and Disney Animation the most dedicated and imaginative leaders I have worked with"" Catmull said in Tuesday's release. Disney said it would not replace Catmull with a new president overseeing its two main animation studios Pixar and Walt Disney instead having the two heads of those studios report to Walt Disney Studios President Alan Bergman. Disney shares were trading down 0.3% in late trading Tuesday after closing with a 0.4% decline at $117.85.",,,,,
,,REX’s goal is for a 20% market share of homes $300000 and up in the top 70 markets in the U.S. according to Rothman. With only five closings under his belt since starting up in May Torstenson still aims high: he believes ShowPal can garner 15% of the business in any metro market within 24 months of launching there. The company is about to launch a Series A round of funding.,,,,,
,"India Globalization Capital Inc.’s stockIGC +16.10%

    had plunged as much as 19% intraday before bouncing to rally 14% in afternoon trade but has still lost 42% over the past six sessions. Read more about the red flags for IGC investors.",,,,,,
,,Get a daily roundup of the top reads in personal finance delivered to your inbox. Subscribe to MarketWatch's free Personal Finance Daily newsletter. Sign up here.,,,,,
,,As for the other factors which the researchers classified as “incentives” some may be surprising. Homes that were foreclosed upon lost about 4% of their visually observable value relative to homes that had not undergone foreclosure. “These estimated effects are far lower than some estimates of the social cost of foreclosure but still significant both economically and statistically” they say.,,,,,
,,Providing critical information for the U.S. trading day. Subscribe to MarketWatch's free Need to Know newsletter. Sign up here.,,,,,
,,ShowPal’s model is a “graduated services” approach. For $999 homeowners get an appraisal and market analysis a photo shoot a yard sign a listing on Zillow and Trulia and the services of an attorney for closing documentation. For a few hundred more sellers also get what might be the company’s secret sauce: a security service that allows interested buyers in for private showings or open houses. And the $1999 “ultimate” package gets the listing on the Multiple Listing Service the industry-controlled database of housing inventory for sale.,,,,,
,An important pointer for investors to carefully make millions in marijuana stocks is to learn how to properly size their positions and how to build the position sizes correctly.,,,,,,
,,A separate Harvard University study concluded that you could add 10 years to your life by eating a healthy diet exercising 30 minutes or more a day maintaining a healthy weight — a body mass index between 18.5 and 24.9 — never smoking and drinking only a moderate amount of alcohol. It analyzed 34 years of data from 78000 women and 27 years of data from 44000 men.,,,,,
,,"United Technologies Corp. UTX +2.86%

     reversed earlier losses to add 2.9% after the firm beat third-quarter profit and sales expectations.",,,,,
,,Get a daily roundup of the top reads in personal finance delivered to your inbox. Subscribe to MarketWatch's free Personal Finance Daily newsletter. Sign up here.,,,,,
,,While Iran continues to express doubts about the ability of other oil producers to compensate for the shortfall in Iranian oil exports data showing a reduction in speculative long positions and the negative price action “indicate that the market isn’t nearly as nervous as it was just a few weeks ago” they said.,,,,,
,,When a woman speaks her mind and is assertive she is likely to be labeled as aggressive. So are these women confronting and attacking their colleagues or are they simply being effective leaders,,,,,
,,On joint safety “we were hoping to see a little bit better balance between tanezumab and placebo” Verburg told MarketWatch noting that rapidly progressive osteoarthritis was only seen in the tanezumab patient groups. Still “the numbers are small and one or two events from one treatment group to another could have changed the picture substantially.”,,,,,
,The key level to watch by his reckoning is 2825.,,,,,,
,,In that case the judge would deem the inheritance as separate property. There are many divorce cases in Ohio that have quoted this salient piece of the law: “The commingling of separate property with other property of any type does not destroy the identity of the separate property as separate property except when the separate property is not traceable.” So proceed with caution if you intend on staying in a marriage for financial reasons particularly if it is an unhappy one.,,,,,
,,The drug could be a “significant multibillion-dollar market opportunity” if potential safety issues are addressed J.P. Morgan analyst Chris Schott said late last month referring to several ongoing phase 3 trials.,,,,,
,“We don’t think the correction is done yet. We think attempts to rebound were more short lived than sustainable. Recent price declines in crowded growth tech and discretionary have caused enough portfolio pain that we think most investors are playing with weak hands” he said.,,,,,,
,,He wasn’t referring to how the Nov. 6 election itself will affect the stock market (and thus retirement accounts). The market is cyclical and often reacts to elections whether presidential or not. Trump was suggesting that voting Democrats into Congress would have a negative impact on the future of these retirement plans such as changes to his recent tax law and economic policies. “It’s a political move to elicit an emotional response” said Mike Geifer a wealthcare adviser at The Johnston Group in Minneapolis. “It’s to drum up his voter base and nothing more than that.”,,,,,
This is not the first doctor to effectively recommend walking your way to a longer life. Walking at an average pace was linked to a 20% reduction in the risk of mortality compared with walking at a slow pace according to a study published earlier this year in the British Journal of Sports Medicine. A similar result was found for risk of dying from cardiovascular disease.,,,,,,,
,,Most people realize that funds rolled over within 60 days will avoid unwelcome tax consequences.,,,,,
,"Shares of Caterpillar Inc.CAT -7.56%

     fell 7.6% after the industrial giant reported profits and revenue ahead of analysts expectations but offered guidance that was below consensus.",,,,,,
,,Chinese stocks fell hard last week then staged the sharpest two-day recovery since 2015 buoyed as government officials attempted to soothe investors. But those reassurances gave way to renewed worries about China’s economic health and the continued trade battle between Washington and Beijing with Shanghai falling 2.3% on Tuesday and Shenzhen ending 1.9% lower.,,,,,
,"Elsewhere MedMen Enterprises Inc. sharesMMNFF -4.38%

    lost 12% after the full-service cannabis company said it acquired a dispensary in San Jose Calif. for an undisclosed sum. The news follows the company’s announcement earlier this month of a $682 million buyout of PharmCann to mark the biggest-ever deal for a U.S.-based marijuana company.",,,,,,
• What could hurt marijuana stocks, Too much love from investors,,,,,,
,From Suze’s account it sounds like she retired backward into her old role. OK. But what did she learn in those hiatus years that she can share with her audience, It seems from other comments she learned that even $10 million in a retirement account is not enough. That stuff happens and money is the answer. I hope for all our sakes that she learned more than that and will share it.,,,,,
Citron’s note comes after the Silicon Valley car maker announced late Monday that it will report third-quarter results on Wednesday much sooner than anticipated.,,,,,,,
,“MedMen continues to expand its market share in California the largest and most advanced cannabis market in the world” said Chief Executive Adam Bierman. “Our next phase of growth will be focused on going deeper in the markets where we already have a presence and brand equity.”,,,,,,
From Suze’s account it sounds like she retired backward into her old role. OK. But what did she learn in those hiatus years that she can share with her audience, It seems from other comments she learned that even $10 million in a retirement account is not enough. That stuff happens and money is the answer. I hope for all our sakes that she learned more than that and will share it.,,,,,,
,,According to the company’s LinkedIn page Alibabacoin Foundation’s blockchain technology “will use artificial-intelligence techniques effective for image recognition most reliably to identify a person most accurately as possible and use this technique effectively for the structure of payment of electronic wallets and financial transactions.”,,,,,
,Marijuana stocks fall in worst-ever day for the sector,,,,,,
,,You are debt-free and — barring any financial catastrophes — you are gliding nicely towards retirement. Your investments are diversified: Stocks bonds and property. A financial adviser can take a closer look at your assets to determine whether based on the value of each this is a smart and comfortable arrangement for someone in your age group. You should be happy with your investment risks regarding your various retirement accounts and property investments.,,,,,
,"As investors backed away from perceived riskier assets such as stocks they sought a haven in the Japanese yenUSDJPY -0.04% Gold prices GCZ8 -0.26%

    settled higher while oil futures US:CLX8

     slumped.",,,,,,
,,It is hard to imagine anyone leading effectively without being assertive.,,,,,
• At The Arora Report we address marijuana every day before the market opens in the Morning Capsule. From the Morning Capsule: “We have been sharing with you that marijuana stocks are high-beta stocks. In plain English this means that they move a lot. The momo (momentum) crowd is aggressively selling marijuana stocks. Overall smart money flows are negative but on down spikes there is light buying from smart money in select marijuana stocks.”,,,,,,,
Let’s give further credit for a presumed boost to economic expansion from the additional tax cuts. Tax rebates were tried in 2001 and 2008 though the evidence from those programs was that the rebates were used for debt reduction rather than new spending.,,,,,,,
,,Americans have their eyes on the midterm elections this November more so than in recent years. Nearly two thirds of registered voters showed interest in the midterm election coming up according to a Wall Street Journal/NBC poll the highest recorded since the first poll of its kind in 2006.,,,,,
,,"McDonald’s Corp. MCD +6.31%

     led Dow advancers rising 6.3% after announcing third-quarter results.",,,,,
,,Also see: November shock, Republicans could still control Congress after the midterms poll suggest,,,,
Mr. Money Mustache did an excellent job of correcting her misimpressions of what we all are up to with saving and investing money early in life so we can be free to pursue what matters more than money. I don’t have anything to add to his explanation.,,,,,,,
,,The National Association of Realtors the mighty Washington lobby boasting 1.2 million members across the country declined to comment for this story. An industry group called the Accredited Seller Agency Council did not respond to requests for comment.,,,,,
,,Fawad Razaqzada technical analyst at research and trading platform Forex.com told MarketWatch that he already is seeing signs of contagion in the commodity complex from the second-largest economy in the world and a big importer of metals crude oil and other raw materials.,,,,,
And then a couple of years in more or less the identity confrontation lands with a thud. Who am I now that I am not my job, How do I explain myself to others, How can I gain the respect and voice I had with my old job, I was somebody. Now I’m nobody.,,,,
,"Green Organic Dutchman Holdings Ltd.’s stockTGODF -1.90%

    declined 1.9% and New Age Beverages Corp. sharesNBEV +5.52%

    tacked on 6.0%. Net Element Inc.’s stockNETE -12.36%

    tumbled 11% after running up 53% on Monday as it launched a compliant payment-processing offering for the legal cannabis industry.",,,,,,
